question,document
"In the offline rag eval notebook, how can I see the whole Explanation value from the judge output?",641aedbbf5
"Why is Pandas only showing part of my string column, and how do I stop that?",641aedbbf5
What option do I need to set so a dataframe column displays unlimited text width?,641aedbbf5
Is there a quick Pandas setting to view the entire judge explanation without the ... truncation?,641aedbbf5
How can I normalize a vector stored in a Pandas DataFrame column?,5039707c1a
What's a simple way to turn each vector in a Pandas Series into a unit vector?,5039707c1a
Is there a quick Pandas apply example for normalizing vectors in a column?,5039707c1a
How do I use numpy.linalg.norm to normalize values in a DataFrame column?,5039707c1a
Can I create a new column with normalized vectors from an existing Pandas column?,5039707c1a
How can I get the 75th percentile from a Pandas DataFrame column?,b4c8ac5a0c
What's the Pandas way to compute a quantile for a Series?,b4c8ac5a0c
How do I calculate the 0.75 quantile in Pandas?,b4c8ac5a0c
Is there a simple method to find a column's percentile in a DataFrame?,b4c8ac5a0c
How do I use Pandas to get a percentile value like 75%?,b4c8ac5a0c
"How do I wipe out every Docker container from the terminal, even the ones that are still running?",66ccbb7da0
What’s the command to force-remove all Docker images at once?,66ccbb7da0
How can I delete every Docker volume using the command line?,66ccbb7da0
"Is there a quick way to clean up all containers, images, and volumes in Docker from the terminal?",66ccbb7da0
What commands should I run to fully reset Docker and remove everything locally?,66ccbb7da0
"How can I make a Streamlit feedback form only allow one vote per submission, like +1 or -1?",2e729f1271
Why does `st.session.submitted` keep turning True again after I press a feedback button in Streamlit?,2e729f1271
I want the feedback buttons to stay disabled after asking a question in Streamlit — what am I missing with session state?,2e729f1271
What’s the fix for `st.session.submitted` getting reassigned when one of the feedback buttons is clicked?,2e729f1271
Is there a known Streamlit issue for session attributes being reset or reassigned after feedback button presses?,2e729f1271
"Why do I get ""exec: streamlit: executable file not found in $PATH"" when starting my Streamlit app with docker-compose, even though it works locally?",e8df9f0d12
What do I need to check in my project if docker-compose fails with an OCI runtime error and says it can't find streamlit?,e8df9f0d12
"Is a Dockerfile required for a Streamlit app to run properly in docker-compose, and how do I make sure it’s picked up?",e8df9f0d12
"After adding Streamlit to docker-compose, what command should I use to rebuild everything and start the container again?",e8df9f0d12
"My app runs fine outside Docker but breaks in docker-compose with ""streamlit not found"" — what am I missing in the container setup?",e8df9f0d12
"Is the capstone something we do as a group, or is each student supposed to submit their own project?",0fab61eca2
"Can I team up with other students on a bigger idea, or does every submission need to be completely separate?",0fab61eca2
"If two people work on one system, is that okay as long as we split it into parts with separate repos?",0fab61eca2
What counts as an independent project for the capstone if the overall idea is shared?,0fab61eca2
"If our work can’t be graded separately for each person, does it still meet the project rules?",0fab61eca2
"Do I need to submit two capstone projects, or is one enough?",d5fc98925d
What do attempt 1 and attempt 2 mean for the capstone submission?,d5fc98925d
"If my first submission gets rejected, can I fix it and send it again later?",d5fc98925d
"Can I submit two projects just to get more practice, and if so, do they have to be different?",d5fc98925d
"If I miss the attempt 1 deadline, can I still join in time for attempt 2 and get certified?",d5fc98925d
"Is the competition considered the capstone project, or is it separate?",e892d44e42
Can I use the math-kaggle-llm-competition as my capstone for the course?,e892d44e42
"If I join the competition with a team, does that still count as the capstone?",e892d44e42
"Is the capstone supposed to be done individually, even if I participate in the competition?",e892d44e42
"Can we form teams for the competition, or is only the capstone individual?",e892d44e42
How will my capstone project be graded in the course?,9a2e2d2008
Who actually reviews the capstone submission after I turn it in?,9a2e2d2008
"Am I supposed to review other students’ projects too, and what happens if I don’t?",9a2e2d2008
How many peer reviews will each capstone project get?,9a2e2d2008
What score ends up being my final project grade?,9a2e2d2008
"After the capstone submission deadline, how do we get the projects we need to review and grade?",eae0fb50aa
"Will the project review assignments be sent out before or after the deadline, and what format will they come in?",eae0fb50aa
"How many projects does each participant have to review for the capstone, and who assigns them?",eae0fb50aa
"Once submissions are closed, what’s the process for distributing projects for grading in the capstone?",eae0fb50aa
"Do we get an Excel file with the review list after the deadline, and does it give each person three projects?",eae0fb50aa
"I already turned in my project, so why am I not seeing anything to review yet?",a8a7fef016
"After the deadline passes, do I get to pick which projects I review, or are they assigned automatically?",a8a7fef016
Can I start reviewing other capstone projects before the review list is released?,a8a7fef016
"My submission is done, but the evaluation page is empty — is that normal until assignments go out?",a8a7fef016
"Once the project deadline is over, how does the project review process work for students?",a8a7fef016
Where can I look for project ideas and datasets for the capstone project?,e76a70cde3
Is there a page with examples of datasets I can use for the final project?,e76a70cde3
What’s a good place to start if I need inspiration for the project topic?,e76a70cde3
"Do you have a link with ideas, datasets, and guidelines for the capstone?",e76a70cde3
Where can I find tips on choosing a dataset for the project?,e76a70cde3
"Do I actually need Airflow, Mage, or Kestra for the capstone project ingestion part, or is plain Python enough?",d4f7c08ea1
"If I build the ingestion pipeline in a Jupyter notebook, will that still count for full credit?",d4f7c08ea1
How many points do I get if I do the data ingestion steps in a notebook instead of a Python script?,d4f7c08ea1
When would it make sense to use an orchestrator in the capstone project instead of just writing a script?,d4f7c08ea1
"Should I add an orchestration tool just to satisfy the project rubric, or only if my use case really needs it?",d4f7c08ea1
How can I evaluate a recommender-style RAG when I don’t have clear ground-truth answers?,9b0e2d6a47
What’s a good way to create synthetic test queries for item retrieval in a RAG system?,9b0e2d6a47
Can I use an LLM to judge the output quality of my recommender RAG end to end?,9b0e2d6a47
"For ranking tasks with multiple acceptable items, should I use hit rate or something like NDCG?",9b0e2d6a47
How would I measure retrieval quality if I ask an LLM to generate queries that should match each item?,9b0e2d6a47
What’s the best way to chunk a big PDF corpus with lots of long paragraphs?,6f2a8b3d10
"Should I try to build the perfect chunking strategy first, or is it better to start with something basic and test it?",6f2a8b3d10
How do I split documents into sections in a smarter way than just fixed-size chunks?,6f2a8b3d10
Is it useful to generate a short summary for each chunk before indexing it?,6f2a8b3d10
"For legal or financial docs, should I use hybrid search instead of only dense embeddings?",6f2a8b3d10
"For the capstone project, what does reproducibility actually mean — do I need to give reviewers my API keys?",e5d8a2c761
How should I set up my repo so someone can clone it and rebuild the search index from scratch?,e5d8a2c761
"Should I commit real credentials in the project, or is there a safer way to handle environment variables?",e5d8a2c761
What’s the best way to make the project cheap to run for reviewers without wasting their credits?,e5d8a2c761
Do I need to lock dependency versions and mention the Python or Docker version somewhere?,e5d8a2c761
"Is it okay if I do the homework in JavaScript instead of Python, or do you expect Python for everything?",ea815eb858
"Can I build the capstone project with Go, Rust, Java, or another non-Python stack if I really want to?",ea815eb858
"If I submit a project in a language other than Python, what kind of README or setup instructions do you need from me?",ea815eb858
How detailed should the installation and run steps be for a non-Python homework submission so the reviewer can test it easily?,ea815eb858
Do the reviewers still accept non-Python solutions even though the course examples and materials are all in Python?,ea815eb858
Where can I look at old LLM Zoomcamp capstone projects to get an idea of the scope?,930286278d
Is there a page with submitted LLM Zoomcamp project repos from past cohorts?,930286278d
Can I see examples of finished LLM Zoomcamp projects before starting mine?,930286278d
Where do I find the 2024 and 2025 LLM Zoomcamp project submissions?,930286278d
What’s the best place to browse previous capstone project repositories for this course?,930286278d
Do I need to reserve my capstone project idea before I start working on it?,897a350476
Is it okay if someone else in the course is doing a similar project topic to mine?,897a350476
"Should I announce my project idea somewhere first, or can I just begin coding?",897a350476
Where can I get feedback on my capstone project idea if I'm not sure about it?,897a350476
Can I use a project topic that's already been done in a previous year if my implementation is original?,897a350476
Can I make my capstone project as a Telegram or WhatsApp bot instead of building a website?,7318a90b14
"Is there any rule that the project has to be a web app, or can I use something like a CLI or Slack app?",7318a90b14
What kinds of user interfaces are acceptable for the capstone project submission?,7318a90b14
"If I choose a notebook or a chatbot interface, will that still count for the project?",7318a90b14
"Does the course show how to build these interfaces, or do I need to set that up myself?",7318a90b14
"What tool should I use to pull text out of PDFs for my RAG project, especially if the course doesn't recommend one specific option?",d8b28c47a0
"If my documents are scanned PDFs with no text layer, what OCR tool or service should I use to extract the text?",d8b28c47a0
Which libraries are people using for converting PDFs into Markdown or JSON in a way that works well for RAG?,d8b28c47a0
Is there a good option for handling lots of different file types and document layouts when extracting text for retrieval?,d8b28c47a0
Should I try different PDF extraction tools on a sample of my files before deciding which one to use?,d8b28c47a0
"Can I use this workshop content in my own capstone project, or is it only for the class?",d850a0e7ea
Is it okay to take the dlt workshop materials and apply them to another project outside this course?,d850a0e7ea
"Since dlt is open source, can I reuse what we learned here in something like an MLOps Zoomcamp project?",d850a0e7ea
"Am I allowed to use the workshop examples directly in my own work, or do I need special permission first?",d850a0e7ea
"Can I share or adapt the workshop content for other projects, or is it meant only for this Zoomcamp?",d850a0e7ea
How do I create a new dlt project for loading data from the cloud?,6bceeebf04
What command should I run to initialize a filesystem source with DuckDB in dlt?,6bceeebf04
"If I want to start a fresh dlt project for cloud files, what’s the setup command?",6bceeebf04
How can I initialize dlt for a filesystem-to-duckdb pipeline?,6bceeebf04
What’s the first command to use when setting up dlt for cloud data ingestion?,6bceeebf04
"Why do I get `Table notion_pages___homework does not exist` when I try `db.open_table(""notion_pages___homework"")`?",0407213397
"What should I check if the notebook says I need to call `db.create_table(notion_pages___homework, data)` first?",0407213397
"I renamed my table to homework, but `open_table` still fails — what am I missing?",0407213397
How do I fix the `FileNotFoundError` for `notion_pages___homework` in the dlt workshop?,0407213397
Is there another place besides `db.open_table()` where I need to update the table name from `employee_handbook` to `homework`?,0407213397
"Why am I getting FileNotFoundError: Table notion_pages___homework does not exist when I run main(), and how do I fix it?",e95bfafc0e
"In the dlt workshop, which table name should I open so the homework script works without the table missing error?",e95bfafc0e
"My code says please first call db.create_table(notion_pages___homework, data). Should I use create_table or open_table here?",e95bfafc0e
Where exactly should I change the line that opens the table for notion homework so it points to the right one?,e95bfafc0e
What is the correct way to reference the notion_pages___homework table in the code to avoid the table-not-found issue?,e95bfafc0e
How can I see what tables are available in the database?,e394e6f738
Is there a method to list all the db tables?,e394e6f738
How do I check which tables were created in the database?,e394e6f738
What do I use to print the table names from the db?,e394e6f738
How can I find the names of every table in my database?,e394e6f738
Does dlt already support ClickHouse or StarRocks connectors?,cd19f122f3
Can I use dlt to load data into ClickHouse or StarRocks directly?,cd19f122f3
Are there any official connectors in dlt for ClickHouse and StarRocks?,cd19f122f3
"If dlt doesn't have ClickHouse or StarRocks connectors yet, can the community add them?",cd19f122f3
"Is there a plan for ClickHouse or StarRocks support in dlt, or do I need to build it myself?",cd19f122f3
Why do I get a 401 Unauthorized when the notebook calls the Notion search API?,0dfba07ace
My notebook says it doesn’t have secret access to api.notion.com/v1/search — what should I check first?,0dfba07ace
Could this Notion API error be caused by a wrong or expired token?,0dfba07ace
What permissions or configuration issues usually lead to unauthorized errors with the Notion API in the notebook?,0dfba07ace
"If the notebook keeps failing on the Notion endpoint, what steps should I take to fix the auth problem?",0dfba07ace
"Why does pip keep giving me requests 2.28 when lancedb needs 2.32, and how do I force the newer one?",4b30b918bc
Is there a way to install requests straight from GitHub so I get v2.32.3 instead of the old pip version?,4b30b918bc
"I’m seeing a 401 Client Error while setting this up — could that mean my key is wrong or not allowed, and how do I fix it?",4b30b918bc
What exact pip command should I use if I need the requests package from the v2.32.3 source archive?,4b30b918bc
"When installing dependencies for lancedb, why does requests stay on an older release and how can I override that?",4b30b918bc
